ssn,age,education,marital-status,relationship,sex,income
927-92-7927,46.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
948-94-8948,53.0,,Married-civ-spouse,Husband,,
537-53-7537,55.0,Preschool,Widowed,Unmarried,Female,
713-71-3713,43.0,Bachelors,Married-civ-spouse,Husband,,>50K
696-69-6696,66.0,11th,Widowed,Not-in-family,,<=50K
440-44-0440,77.0,Bachelors,Married-AF-spouse,Husband,Female,
712-71-2712,50.0,,Married-civ-spouse,Husband,Male,
599-59-9599,32.0,HS-grad,Married-civ-spouse,Husband,,>50K
473-47-3473,41.0,HS-grad,,Unmarried,Female,<=50K
516-51-6516,63.0,Assoc-voc,Married-civ-spouse,Husband,,>50K
385-38-5385,45.0,HS-grad,Married-civ-spouse,Husband,,
274-27-4274,35.0,Assoc-acdm,,Not-in-family,Male,
846-84-6846,19.0,10th,Never-married,,,
881-88-1881,57.0,,Married-civ-spouse,Husband,Male,
584-58-4584,19.0,11th,,,,
952-95-2952,,Some-college,Married-civ-spouse,Husband,,
033-03-3033,,HS-grad,Separated,,,
014-01-4014,70.0,7th-8th,Never-married,Not-in-family,,
650-65-0650,33.0,,Never-married,,Male,<=50K
322-32-2322,23.0,Some-college,,Own-child,Male,<=50K
204-20-4204,55.0,Masters,Widowed,Wife,Male,
126-12-6126,41.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
849-84-9849,73.0,10th,Married-civ-spouse,Husband,,<=50K
235-23-5235,29.0,Assoc-voc,,Husband,,<=50K
067-06-7067,72.0,HS-grad,Separated,Husband,,
345-34-5345,41.0,HS-grad,,Husband,Male,
666-66-6666,34.0,Masters,Divorced,Not-in-family,Female,
346-34-6346,33.0,Assoc-acdm,Divorced,Not-in-family,Female,<=50K
077-07-7077,21.0,,Married-civ-spouse,Husband,Male,
279-27-9279,,Some-college,Never-married,Unmarried,Female,<=50K
166-16-6166,20.0,,Never-married,Own-child,,
966-96-6966,28.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
687-68-7687,24.0,12th,Never-married,Own-child,,
889-88-9889,68.0,11th,,Husband,,
483-48-3483,24.0,Bachelors,,Own-child,,<=50K
503-50-3503,46.0,Some-college,,,Male,<=50K
417-41-7417,34.0,10th,Never-married,Not-in-family,,<=50K
690-69-0690,70.0,HS-grad,Never-married,Unmarried,Female,<=50K
151-15-1151,49.0,,Married-civ-spouse,Husband,Male,<=50K
943-94-3943,33.0,HS-grad,Never-married,Unmarried,Female,
315-31-5315,38.0,HS-grad,Married-civ-spouse,Husband,,<=50K
608-60-8608,35.0,HS-grad,Married-civ-spouse,Husband,,
415-41-5415,35.0,,Married-AF-spouse,Own-child,Female,<=50K
597-59-7597,41.0,Some-college,,Husband,Male,<=50K
480-48-0480,31.0,,Married-civ-spouse,,Male,<=50K
154-15-4154,48.0,,,Husband,,
534-53-4534,84.0,,Married-spouse-absent,Unmarried,Male,>50K
877-87-7877,38.0,11th,Married-civ-spouse,Husband,,
964-96-4964,,Assoc-voc,Married-civ-spouse,Wife,Female,
983-98-3983,,,Never-married,,Female,<=50K
094-09-4094,39.0,HS-grad,Married-civ-spouse,Husband,,<=50K
451-45-1451,20.0,,Never-married,Own-child,Female,<=50K
864-86-4864,24.0,Some-college,,Own-child,Female,<=50K
669-66-9669,17.0,Assoc-voc,,Own-child,Male,<=50K
954-95-4954,56.0,,Married-civ-spouse,Husband,Male,
497-49-7497,41.0,Some-college,Married-civ-spouse,,,
558-55-8558,34.0,,,Not-in-family,Female,<=50K
823-82-3823,64.0,7th-8th,,,Male,<=50K
638-63-8638,36.0,Assoc-acdm,Never-married,Unmarried,,
681-68-1681,49.0,Bachelors,Married-civ-spouse,Husband,Male,
113-11-3113,28.0,,Married-civ-spouse,,,<=50K
056-05-6056,54.0,,,Not-in-family,Female,>50K
790-79-0790,42.0,1st-4th,Divorced,,,<=50K
972-97-2972,22.0,,Never-married,Own-child,,
809-80-9809,35.0,,Married-civ-spouse,,,<=50K
682-68-2682,50.0,Assoc-voc,Married-spouse-absent,Unmarried,Female,<=50K
635-63-5635,58.0,Assoc-voc,Married-spouse-absent,Unmarried,Male,
249-24-9249,27.0,Assoc-acdm,Never-married,Other-relative,Male,<=50K
514-51-4514,39.0,Prof-school,Never-married,,Male,>50K
104-10-4104,45.0,Preschool,Separated,Unmarried,,<=50K
968-96-8968,,Some-college,,Not-in-family,,
955-95-5955,24.0,Some-college,Never-married,Own-child,,<=50K
854-85-4854,59.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
686-68-6686,45.0,HS-grad,Divorced,Not-in-family,,<=50K
292-29-2292,21.0,Some-college,Divorced,Unmarried,Female,<=50K
500-50-0500,63.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
572-57-2572,37.0,Prof-school,Divorced,Own-child,Male,
532-53-2532,45.0,Prof-school,Divorced,Not-in-family,Female,
418-41-8418,62.0,HS-grad,Married-civ-spouse,Husband,,>50K
004-00-4004,40.0,,Married-civ-spouse,Husband,,<=50K
536-53-6536,,10th,Never-married,Own-child,Male,
587-58-7587,,,Never-married,Own-child,,<=50K
173-17-3173,21.0,Some-college,Never-married,Own-child,Male,<=50K
861-86-1861,35.0,9th,Divorced,Unmarried,,>50K
366-36-6366,39.0,HS-grad,,Unmarried,Female,<=50K
527-52-7527,64.0,Bachelors,,Not-in-family,Male,<=50K
264-26-4264,,,Divorced,,,<=50K
900-90-0900,18.0,Masters,Never-married,Not-in-family,Male,
198-19-8198,28.0,,Never-married,Not-in-family,,<=50K
557-55-7557,21.0,Doctorate,Never-married,,,>50K
748-74-8748,35.0,Some-college,,,Female,<=50K
135-13-5135,46.0,Masters,Widowed,Unmarried,,
133-13-3133,39.0,,Married-civ-spouse,Husband,,>50K
495-49-5495,30.0,,Never-married,,,
956-95-6956,50.0,HS-grad,Divorced,Unmarried,,<=50K
256-25-6256,22.0,Doctorate,Never-married,,,
935-93-5935,,Masters,Married-civ-spouse,Husband,Male,
830-83-0830,65.0,HS-grad,,,Male,
377-37-7377,52.0,Masters,Married-civ-spouse,Husband,Male,
336-33-6336,58.0,12th,Married-AF-spouse,Own-child,,<=50K
082-08-2082,29.0,Some-college,Married-civ-spouse,Husband,,
826-82-6826,22.0,,,,Female,<=50K
476-47-6476,28.0,Some-college,,,,
402-40-2402,65.0,Assoc-voc,Never-married,Own-child,Female,<=50K
048-04-8048,,Bachelors,,Not-in-family,,<=50K
071-07-1071,46.0,,Married-civ-spouse,Husband,Male,
443-44-3443,47.0,11th,Married-civ-spouse,Unmarried,Male,<=50K
859-85-9859,,Bachelors,Never-married,Not-in-family,Male,<=50K
463-46-3463,,11th,,Unmarried,Male,
698-69-8698,29.0,,Never-married,,Female,<=50K
799-79-9799,23.0,,Never-married,,Male,
917-91-7917,38.0,,Divorced,,,
549-54-9549,46.0,Some-college,,Husband,Male,
817-81-7817,36.0,11th,Never-married,Not-in-family,Male,
046-04-6046,56.0,Prof-school,Widowed,Unmarried,,>50K
069-06-9069,42.0,Prof-school,Married-civ-spouse,Husband,,>50K
409-40-9409,46.0,10th,,Other-relative,Female,<=50K
879-87-9879,30.0,,,Husband,,
426-42-6426,,,Married-civ-spouse,Husband,Male,<=50K
533-53-3533,31.0,Masters,Married-AF-spouse,Husband,Male,<=50K
125-12-5125,36.0,Bachelors,Never-married,,,<=50K
246-24-6246,22.0,,Married-civ-spouse,Husband,Male,>50K
646-64-6646,23.0,Prof-school,Never-married,Not-in-family,Male,<=50K
525-52-5525,88.0,11th,,,Male,<=50K
485-48-5485,43.0,,Never-married,Unmarried,,
539-53-9539,48.0,Assoc-acdm,Married-civ-spouse,Husband,Male,<=50K
358-35-8358,51.0,Bachelors,,Husband,Male,>50K
150-15-0150,19.0,,Never-married,Own-child,,
909-90-9909,23.0,Bachelors,Never-married,Own-child,,>50K
958-95-8958,55.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
922-92-2922,37.0,Masters,,,Female,
296-29-6296,20.0,,Never-married,Own-child,,<=50K
727-72-7727,22.0,,Never-married,Own-child,Female,<=50K
017-01-7017,30.0,Assoc-acdm,Never-married,Own-child,Male,<=50K
499-49-9499,43.0,10th,Divorced,Unmarried,Female,<=50K
858-85-8858,53.0,HS-grad,Widowed,Not-in-family,Female,<=50K
092-09-2092,29.0,Some-college,Never-married,Not-in-family,Female,<=50K
665-66-5665,35.0,Assoc-voc,Married-civ-spouse,Husband,Male,
633-63-3633,51.0,,Widowed,Husband,Female,
903-90-3903,29.0,,Married-civ-spouse,,Male,<=50K
740-74-0740,64.0,Some-college,Divorced,Wife,Male,>50K
555-55-5555,69.0,12th,Separated,Other-relative,Female,>50K
737-73-7737,,,Married-civ-spouse,Husband,Male,
352-35-2352,66.0,Assoc-acdm,Married-civ-spouse,Husband,Male,>50K
554-55-4554,,Assoc-voc,Married-civ-spouse,Husband,Male,<=50K
827-82-7827,51.0,Bachelors,Married-civ-spouse,Not-in-family,Female,
765-76-5765,,Bachelors,Never-married,Not-in-family,,
551-55-1551,35.0,9th,Divorced,Unmarried,Female,
124-12-4124,34.0,,Never-married,Not-in-family,Male,<=50K
685-68-5685,23.0,5th-6th,Married-civ-spouse,Husband,Male,
072-07-2072,89.0,Masters,Divorced,Husband,Male,
342-34-2342,29.0,Assoc-acdm,Married-AF-spouse,Husband,Female,
894-89-4894,22.0,Doctorate,Married-spouse-absent,Unmarried,Female,<=50K
701-70-1701,19.0,11th,Never-married,Not-in-family,Female,<=50K
947-94-7947,21.0,Some-college,Never-married,Own-child,,
910-91-0910,40.0,Bachelors,Married-civ-spouse,,,<=50K
197-19-7197,29.0,,Widowed,,Female,<=50K
841-84-1841,47.0,,Married-civ-spouse,Husband,Male,
431-43-1431,59.0,Some-college,Separated,Unmarried,Female,
754-75-4754,37.0,Some-college,Married-civ-spouse,Husband,,>50K
624-62-4624,64.0,HS-grad,Married-civ-spouse,Husband,,<=50K
673-67-3673,41.0,1st-4th,Married-civ-spouse,Wife,Female,<=50K
550-55-0550,48.0,Bachelors,Separated,Not-in-family,,<=50K
751-75-1751,37.0,10th,,Not-in-family,Male,
470-47-0470,60.0,12th,Divorced,Own-child,Male,<=50K
331-33-1331,40.0,,Separated,,,<=50K
520-52-0520,30.0,,Divorced,Own-child,,<=50K
699-69-9699,43.0,10th,,,,<=50K
311-31-1311,62.0,,,Husband,,<=50K
161-16-1161,18.0,,,,Female,<=50K
820-82-0820,29.0,HS-grad,,Husband,Male,>50K
801-80-1801,23.0,,Never-married,,Male,>50K
195-19-5195,22.0,Some-college,,Unmarried,,<=50K
321-32-1321,52.0,Assoc-voc,Married-civ-spouse,Husband,,>50K
162-16-2162,38.0,11th,Divorced,,Female,
467-46-7467,35.0,,,Unmarried,Male,<=50K
636-63-6636,63.0,HS-grad,Divorced,Husband,Male,
061-06-1061,55.0,,,Husband,,>50K
807-80-7807,63.0,Bachelors,Widowed,Other-relative,,<=50K
963-96-3963,46.0,Prof-school,Married-civ-spouse,Husband,Male,>50K
374-37-4374,31.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
129-12-9129,46.0,,Separated,Not-in-family,,
571-57-1571,51.0,,Widowed,Not-in-family,,<=50K
211-21-1211,39.0,Preschool,Divorced,Not-in-family,,
579-57-9579,45.0,,Married-civ-spouse,Husband,Male,
899-89-9899,32.0,HS-grad,Never-married,Own-child,Female,
453-45-3453,,Some-college,Never-married,,,
573-57-3573,52.0,Masters,Married-civ-spouse,Husband,Male,>50K
989-98-9989,21.0,,Never-married,Other-relative,Male,<=50K
543-54-3543,,,Married-civ-spouse,Husband,Male,
588-58-8588,40.0,,Divorced,Unmarried,Female,
269-26-9269,34.0,Some-college,Never-married,Not-in-family,Male,
340-34-0340,25.0,HS-grad,Never-married,Own-child,Female,<=50K
620-62-0620,51.0,11th,,Husband,,
219-21-9219,49.0,,Married-civ-spouse,Husband,Male,
170-17-0170,39.0,1st-4th,,Other-relative,Female,<=50K
578-57-8578,27.0,1st-4th,Never-married,Not-in-family,,
213-21-3213,41.0,Some-college,Married-civ-spouse,,Male,<=50K
486-48-6486,28.0,HS-grad,Married-civ-spouse,Wife,Female,<=50K
155-15-5155,76.0,Preschool,Married-spouse-absent,Wife,Male,
076-07-6076,34.0,HS-grad,Never-married,,,<=50K
273-27-3273,,,Married-civ-spouse,Husband,,>50K
816-81-6816,,,Never-married,Own-child,Female,<=50K
349-34-9349,46.0,Some-college,Separated,Own-child,Male,<=50K
528-52-8528,,Bachelors,Married-civ-spouse,,Male,
375-37-5375,,HS-grad,Married-civ-spouse,Husband,,
813-81-3813,76.0,Masters,Never-married,Husband,Female,
015-01-5015,53.0,HS-grad,Married-civ-spouse,Husband,,<=50K
208-20-8208,61.0,HS-grad,,Husband,Male,<=50K
925-92-5925,24.0,,,,,<=50K
704-70-4704,40.0,HS-grad,Divorced,Unmarried,,<=50K
706-70-6706,17.0,HS-grad,,,Male,
884-88-4884,29.0,HS-grad,,Husband,,
779-77-9779,77.0,Assoc-acdm,Separated,Own-child,Male,<=50K
172-17-2172,45.0,HS-grad,Married-civ-spouse,Husband,,>50K
369-36-9369,53.0,5th-6th,Never-married,Other-relative,Male,<=50K
717-71-7717,32.0,12th,Married-civ-spouse,,,<=50K
593-59-3593,19.0,,Never-married,,Female,>50K
110-11-0110,23.0,HS-grad,Never-married,Not-in-family,,<=50K
670-67-0670,44.0,Bachelors,Married-civ-spouse,,,
746-74-6746,46.0,,Married-civ-spouse,Husband,,
513-51-3513,,,,,Female,
975-97-5975,62.0,Doctorate,Married-civ-spouse,,,
616-61-6616,17.0,11th,Never-married,,Male,
762-76-2762,17.0,,,Own-child,,
488-48-8488,23.0,Some-college,,,Female,<=50K
390-39-0390,77.0,Masters,Married-civ-spouse,Husband,,
689-68-9689,64.0,Some-college,Married-civ-spouse,,Male,<=50K
134-13-4134,24.0,Bachelors,Never-married,Own-child,Female,
832-83-2832,39.0,Preschool,,Husband,Male,<=50K
054-05-4054,28.0,,Never-married,Not-in-family,Male,<=50K
511-51-1511,27.0,,Married-civ-spouse,Husband,,<=50K
738-73-8738,56.0,Assoc-voc,Married-civ-spouse,,Male,
019-01-9019,34.0,12th,Never-married,Not-in-family,Female,<=50K
457-45-7457,38.0,10th,Divorced,Other-relative,Female,<=50K
045-04-5045,31.0,Some-college,,Own-child,,<=50K
589-58-9589,19.0,Doctorate,Never-married,Not-in-family,,
250-25-0250,29.0,Some-college,Married-civ-spouse,Husband,,>50K
484-48-4484,,HS-grad,Never-married,,Male,
882-88-2882,30.0,HS-grad,Married-civ-spouse,Husband,,<=50K
316-31-6316,18.0,Assoc-voc,Married-civ-spouse,Other-relative,Female,>50K
487-48-7487,56.0,Bachelors,Married-civ-spouse,Husband,Male,
410-41-0410,50.0,Some-college,,Husband,,
580-58-0580,69.0,Bachelors,Widowed,,,<=50K
429-42-9429,22.0,Some-college,Never-married,,,<=50K
697-69-7697,24.0,Some-college,Never-married,,,<=50K
131-13-1131,38.0,,Married-civ-spouse,,,
196-19-6196,33.0,,Married-civ-spouse,Wife,,
265-26-5265,52.0,Some-college,,Not-in-family,Male,
724-72-4724,39.0,,Married-civ-spouse,Husband,,
969-96-9969,32.0,12th,Never-married,Not-in-family,Female,
757-75-7757,53.0,Assoc-voc,Married-civ-spouse,Husband,,>50K
118-11-8118,76.0,Masters,Married-AF-spouse,Husband,Male,>50K
288-28-8288,22.0,,,Husband,Male,<=50K
018-01-8018,34.0,Some-college,Married-AF-spouse,Unmarried,Female,<=50K
290-29-0290,47.0,,Married-civ-spouse,Husband,Male,
721-72-1721,73.0,11th,Never-married,Wife,Female,>50K
466-46-6466,40.0,HS-grad,Married-civ-spouse,Husband,Male,
354-35-4354,43.0,Some-college,Married-civ-spouse,Husband,Male,
628-62-8628,54.0,HS-grad,,Husband,,>50K
064-06-4064,44.0,HS-grad,Divorced,Unmarried,,
824-82-4824,50.0,Masters,Married-civ-spouse,Husband,,
674-67-4674,33.0,HS-grad,Divorced,Not-in-family,Male,<=50K
930-93-0930,18.0,Some-college,,Own-child,Female,
871-87-1871,44.0,,Married-spouse-absent,,Male,
295-29-5295,50.0,1st-4th,Widowed,Unmarried,,
492-49-2492,64.0,,,Husband,Male,>50K
471-47-1471,41.0,HS-grad,,Husband,Male,<=50K
382-38-2382,82.0,HS-grad,Separated,Husband,,<=50K
191-19-1191,28.0,,Divorced,Not-in-family,Male,<=50K
844-84-4844,,HS-grad,Married-civ-spouse,Husband,,
085-08-5085,29.0,Bachelors,Never-married,Not-in-family,,>50K
301-30-1301,44.0,,Widowed,Unmarried,,<=50K
119-11-9119,78.0,Assoc-acdm,Never-married,Unmarried,Female,<=50K
032-03-2032,48.0,Masters,Married-civ-spouse,Husband,Male,
175-17-5175,,Masters,Widowed,Not-in-family,Female,
063-06-3063,47.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
023-02-3023,49.0,,Divorced,,,<=50K
865-86-5865,31.0,Bachelors,Married-civ-spouse,Husband,,>50K
089-08-9089,79.0,Bachelors,,Unmarried,,
206-20-6206,56.0,Masters,Married-civ-spouse,Wife,Female,
912-91-2912,33.0,5th-6th,Married-civ-spouse,Wife,,>50K
034-03-4034,,HS-grad,Married-civ-spouse,Husband,Male,
843-84-3843,46.0,1st-4th,Never-married,Not-in-family,,
116-11-6116,34.0,,Never-married,Own-child,,<=50K
490-49-0490,43.0,HS-grad,Married-civ-spouse,Husband,Male,
995-99-5995,43.0,Assoc-voc,Separated,Not-in-family,,
784-78-4784,60.0,Masters,Married-civ-spouse,Husband,Male,
391-39-1391,57.0,12th,Widowed,Not-in-family,Female,
880-88-0880,24.0,,Married-civ-spouse,Husband,Male,
750-75-0750,44.0,HS-grad,Married-civ-spouse,,Male,<=50K
287-28-7287,41.0,7th-8th,Married-civ-spouse,Husband,Male,
337-33-7337,22.0,Masters,Never-married,Other-relative,Male,>50K
144-14-4144,30.0,Some-college,Never-married,Not-in-family,,
883-88-3883,19.0,HS-grad,Never-married,Own-child,,<=50K
062-06-2062,34.0,HS-grad,Married-civ-spouse,,,<=50K
132-13-2132,48.0,,Divorced,Unmarried,Female,
630-63-0630,37.0,Masters,Married-civ-spouse,Husband,Male,>50K
275-27-5275,35.0,HS-grad,Never-married,Not-in-family,,<=50K
661-66-1661,,HS-grad,Never-married,Other-relative,Male,<=50K
293-29-3293,,Some-college,Divorced,Own-child,Male,
908-90-8908,47.0,Assoc-voc,,Unmarried,Female,<=50K
598-59-8598,38.0,,Married-civ-spouse,Husband,,<=50K
759-75-9759,59.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
073-07-3073,40.0,HS-grad,Never-married,Not-in-family,Male,
407-40-7407,32.0,HS-grad,Married-civ-spouse,,Male,<=50K
988-98-8988,42.0,Some-college,,Husband,Male,
454-45-4454,63.0,,,,,
862-86-2862,20.0,,,Own-child,Male,<=50K
798-79-8798,44.0,Assoc-voc,Separated,Not-in-family,,<=50K
778-77-8778,41.0,Assoc-acdm,Married-civ-spouse,,Male,<=50K
743-74-3743,28.0,,,Not-in-family,Male,<=50K
147-14-7147,62.0,10th,Divorced,Unmarried,,<=50K
691-69-1691,,12th,Never-married,Not-in-family,Female,
079-07-9079,54.0,HS-grad,Married-civ-spouse,,,
335-33-5335,43.0,Preschool,Divorced,Unmarried,,<=50K
938-93-8938,31.0,,Separated,Unmarried,Female,<=50K
904-90-4904,21.0,,,Not-in-family,Female,<=50K
825-82-5825,36.0,9th,Married-civ-spouse,Wife,,<=50K
326-32-6326,18.0,Some-college,Never-married,Own-child,Female,
758-75-8758,37.0,,,Husband,,>50K
971-97-1971,48.0,Assoc-voc,Married-civ-spouse,Husband,Male,
378-37-8378,21.0,,Never-married,,Male,<=50K
944-94-4944,35.0,,,,Male,<=50K
818-81-8818,32.0,,Never-married,Not-in-family,Male,<=50K
029-02-9029,21.0,Some-college,Never-married,Own-child,Female,<=50K
007-00-7007,44.0,10th,Married-civ-spouse,,,<=50K
121-12-1121,34.0,10th,Never-married,Not-in-family,Female,<=50K
108-10-8108,57.0,HS-grad,,,,
932-93-2932,19.0,HS-grad,,Own-child,Male,
730-73-0730,39.0,Bachelors,Divorced,,,>50K
985-98-5985,,,Never-married,,Female,<=50K
753-75-3753,88.0,7th-8th,Married-civ-spouse,,Male,<=50K
272-27-2272,19.0,11th,,Husband,Male,
363-36-3363,22.0,HS-grad,Never-married,Own-child,Male,
610-61-0610,52.0,7th-8th,Widowed,Not-in-family,,
040-04-0040,32.0,Bachelors,,Husband,Male,
101-10-1101,34.0,,,Not-in-family,Male,
755-75-5755,40.0,Assoc-voc,Married-civ-spouse,Husband,Male,<=50K
752-75-2752,62.0,Doctorate,Married-civ-spouse,,,<=50K
253-25-3253,24.0,,Married-civ-spouse,Husband,,
090-09-0090,28.0,,Married-civ-spouse,,Male,
839-83-9839,27.0,Some-college,Divorced,Not-in-family,Male,<=50K
648-64-8648,35.0,Masters,Divorced,Not-in-family,Female,
603-60-3603,,HS-grad,,Husband,,<=50K
793-79-3793,61.0,12th,,Husband,Male,
284-28-4284,,HS-grad,Widowed,Not-in-family,,
002-00-2002,47.0,,Married-civ-spouse,,Male,>50K
997-99-7997,,Masters,Married-civ-spouse,Husband,Male,
777-77-7777,34.0,Bachelors,,,Male,>50K
037-03-7037,31.0,Bachelors,,,Male,
323-32-3323,45.0,HS-grad,Divorced,Not-in-family,Male,<=50K
575-57-5575,42.0,Some-college,Never-married,Not-in-family,,
629-62-9629,,Bachelors,Married-civ-spouse,Husband,Male,>50K
639-63-9639,20.0,,Never-married,Own-child,,<=50K
845-84-5845,32.0,Bachelors,Married-civ-spouse,Husband,,>50K
641-64-1641,61.0,Bachelors,Divorced,Husband,,<=50K
477-47-7477,,,Married-AF-spouse,Not-in-family,Male,<=50K
720-72-0720,27.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
148-14-8148,35.0,,,Husband,Male,>50K
672-67-2672,43.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
364-36-4364,,Masters,Married-civ-spouse,Husband,,
542-54-2542,,,Married-civ-spouse,Husband,Male,
080-08-0080,,,,Husband,Male,>50K
568-56-8568,46.0,Doctorate,Married-civ-spouse,Husband,Male,>50K
933-93-3933,28.0,10th,Married-civ-spouse,Own-child,,<=50K
464-46-4464,35.0,,Never-married,,Male,<=50K
333-33-3333,22.0,HS-grad,,,Female,<=50K
794-79-4794,18.0,10th,Never-married,Not-in-family,,<=50K
623-62-3623,36.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
647-64-7647,23.0,Some-college,Never-married,Own-child,Female,
005-00-5005,90.0,Some-college,Widowed,Other-relative,Female,<=50K
420-42-0420,26.0,Assoc-acdm,Never-married,,Male,<=50K
668-66-8668,75.0,,Widowed,Husband,Male,
123-12-3123,48.0,,Married-civ-spouse,,Male,<=50K
012-01-2012,37.0,Bachelors,Married-civ-spouse,Husband,,<=50K
652-65-2652,,Some-college,Married-civ-spouse,Husband,,>50K
095-09-5095,41.0,,Divorced,Unmarried,,<=50K
355-35-5355,45.0,,Married-civ-spouse,Husband,Male,
965-96-5965,23.0,,Never-married,Unmarried,Female,
398-39-8398,75.0,Prof-school,Never-married,Other-relative,,>50K
270-27-0270,,Some-college,Separated,Not-in-family,,<=50K
475-47-5475,20.0,Some-college,Never-married,Own-child,,<=50K
452-45-2452,31.0,,Married-civ-spouse,Husband,Male,<=50K
510-51-0510,58.0,5th-6th,Married-spouse-absent,Unmarried,Male,<=50K
359-35-9359,55.0,,Divorced,Not-in-family,,
036-03-6036,48.0,,,Not-in-family,,
595-59-5595,,HS-grad,Married-civ-spouse,,,>50K
756-75-6756,24.0,Bachelors,Married-civ-spouse,,Male,>50K
607-60-7607,33.0,Assoc-voc,Married-civ-spouse,Husband,,
950-95-0950,38.0,10th,Married-civ-spouse,Husband,,<=50K
521-52-1521,48.0,,Never-married,Not-in-family,,<=50K
043-04-3043,30.0,,Never-married,,,>50K
016-01-6016,46.0,Masters,Divorced,,Male,
769-76-9769,45.0,,Married-civ-spouse,,Male,
999-99-9999,23.0,Bachelors,Never-married,,Male,
262-26-2262,28.0,Bachelors,Married-civ-spouse,Husband,Male,
248-24-8248,32.0,12th,Married-civ-spouse,,Female,
263-26-3263,44.0,Some-college,Married-civ-spouse,Husband,,
242-24-2242,,HS-grad,Married-civ-spouse,Husband,Male,<=50K
634-63-4634,29.0,12th,,,,
970-97-0970,50.0,Masters,Married-civ-spouse,Husband,Male,
438-43-8438,42.0,,Separated,Unmarried,,<=50K
953-95-3953,31.0,,Married-civ-spouse,Husband,,
907-90-7907,73.0,Bachelors,,Unmarried,Female,
